,Abondance,Beaufonds,St Paul,Ste Rose,Riviere de l'Est,Takamaka,St Leu,TAC SUD,Dattiers,Digue,Langevin,Le Bras de la Plaine,Le Gol,Le Port,Ste Marie,Bois Rouge,Tampon,La Vallee,St Andre,Moufia,Possession,Saline,St Pierre,Montvert,Marquet
2030-01-01 00:00:00,1.0922995122066768,0.18991356491530054,0,0.18566112103981705,0,0,0.9712928949879864,0,1.426458673342743,1.426458673342743,1.2411350478485992,0.35749456743690544,2.273871417608878,0.9872612556632715,0.9789010088604502,0.679957097232923,2.2745946223496065,0,2.2098533339595923,1.426458673342743,0.955208821554185,3.230063797610454,2.436100705049092,0.3518246422695941,0
2030-01-01 01:00:00,0.9612235707418756,0.16712393712546447,0,0.163381786515039,0,0,0.8547377475894281,0,1.255283632541614,1.255283632541614,1.0921988421067674,0.31459521934447676,2.0010068474958125,0.8687899049836789,0.8614328877971961,0.5983622455649722,2.0016432676676534,0,1.9446709338844415,1.255283632541614,0.8405837629676828,2.8424561418971996,2.143768620443201,0.3096056851972428,0
2030-01-01 02:00:00,0.8738396097653416,0.15193085193224048,0,0.1485288968318537,0,0,0.7770343159903893,0,1.1411669386741947,1.1411669386741947,0.9929080382788797,0.2859956539495244,1.8190971340871027,0.7898090045306174,0.7831208070883603,0.5439656777863385,1.8196756978796855,0,1.7678826671676742,1.1411669386741947,0.7641670572433482,2.5840510380883637,1.9488805640392741,0.28145971381567536,0
2030-01-01 03:00:00,0.7864556487888072,0.1367377667390164,0,0.13367600714866826,0,0,0.6993308843913502,0,1.027050244806775,1.027050244806775,0.8936172344509915,0.2573960885545719,1.637187420678392,0.7108281040775555,0.7048087263795241,0.48956911000770453,1.6377081280917165,0,1.5910944004509062,1.027050244806775,0.6877503515190131,2.325645934279527,1.7539925076353462,0.25331374243410776,0
2030-01-01 04:00:00,0.6553797073240061,0.11394813894918034,0,0.11139667262389023,0,0,0.582775736992792,0,0.8558752040056459,0.8558752040056459,0.7446810287091596,0.2144967404621433,1.3643228505653269,0.5923567533979629,0.5873406053162701,0.4079742583397538,1.3647567734097639,0,1.3259120003757554,0.8558752040056459,0.573125292932511,1.9380382785662724,1.4616604230294554,0.2110947853617565,0
2030-01-01 05:00:00,0.4369198048826708,0.07596542596612024,0,0.07426444841592685,0,0,0.38851715799519465,0,0.5705834693370974,0.5705834693370974,0.4964540191394399,0.1429978269747622,0.9095485670435514,0.3949045022653087,0.39156040354418015,0.27198283889316927,0.9098378489398428,0,0.8839413335838371,0.5705834693370974,0.3820835286216741,1.2920255190441818,0.9744402820196371,0.14072985690783768,0
2030-01-01 06:00:00,0.3932278243944036,0.0683688833695082,0,0.06683800357433413,0,0,0.3496654421956751,0,0.5135251224033875,0.5135251224033875,0.44680861722549575,0.12869804427728596,0.818593710339196,0.35541405203877774,0.35240436318976204,0.24478455500385227,0.8188540640458583,0,0.7955472002254531,0.5135251224033875,0.34387517575950655,1.1628229671397634,0.8769962538176731,0.12665687121705388,0
2030-01-01 07:00:00,0.7864556487888072,0.1367377667390164,0,0.13367600714866826,0,0,0.6993308843913502,0,1.027050244806775,1.027050244806775,0.8936172344509915,0.2573960885545719,1.637187420678392,0.7108281040775555,0.7048087263795241,0.48956911000770453,1.6377081280917165,0,1.5910944004509062,1.027050244806775,0.6877503515190131,2.325645934279527,1.7539925076353462,0.25331374243410776,0
2030-01-01 08:00:00,1.135991492694944,0.19751010751191259,0,0.19308756588140974,0,0,1.0101446107875058,0,1.4835170202764527,1.4835170202764527,1.2907804497625432,0.37179435013438167,2.3648262743132333,1.0267517058898024,1.0180570492148682,0.70715538112224,2.3655784072435906,0,2.2982474673179762,1.4835170202764527,0.9934171744163525,3.3592663495148725,2.533544733251056,0.3658976279603779,0
2030-01-01 09:00:00,1.135991492694944,0.19751010751191259,0,0.19308756588140974,0,0,1.0101446107875058,0,1.4835170202764527,1.4835170202764527,1.2907804497625432,0.37179435013438167,2.3648262743132333,1.0267517058898024,1.0180570492148682,0.70715538112224,2.3655784072435906,0,2.2982474673179762,1.4835170202764527,0.9934171744163525,3.3592663495148725,2.533544733251056,0.3658976279603779,0
2030-01-01 10:00:00,0.9175315902536084,0.15952739452885245,0,0.15595534167344632,0,0,0.8158860317899086,0,1.198225285607904,1.198225285607904,1.0425534401928234,0.30029543664700054,1.9100519907914575,0.829299454757148,0.8222768474427781,0.5711639616756553,1.9106594827736691,0,1.8562768005260575,1.198225285607904,0.8023754101055154,2.713253589992781,2.046324592241237,0.29553269950645905,0
2030-01-01 11:00:00,0.9612235707418756,0.16712393712546447,0,0.163381786515039,0,0,0.8547377475894281,0,1.255283632541614,1.255283632541614,1.0921988421067674,0.31459521934447676,2.0010068474958125,0.8687899049836789,0.8614328877971961,0.5983622455649722,2.0016432676676534,0,1.9446709338844415,1.255283632541614,0.8405837629676828,2.8424561418971996,2.143768620443201,0.3096056851972428,0
2030-01-01 12:00:00,1.8350631805072168,0.3190547890577049,0,0.31191068334689265,0,0,1.6317720635798172,0,2.396450571215808,2.396450571215808,2.0851068803856467,0.6005908732940011,3.820103981582915,1.658598909514296,1.6445536948855561,1.1423279233513106,3.8213189655473383,0,3.712553601052115,2.396450571215808,1.6047508202110308,5.426507179985562,4.092649184482474,0.5910653990129181,0
