Vitesse de vent (m/s);Puissance (kw)
0;0
1;0
2;0
3;0
4;150
4.5;225
5;300
5.5;425
6;550
6.5;700
7;900
7.5;1100
8;1325
8.5;1575
9;1775
9.5;1900
10;1975
10.5;1980
11;1990
11.5;2000
12;2000
12.5;2000
13;2000
13.5;2000
14;2000
14.5;2000
15;2000
15.5;2000
16;2000
16.5;2000
17;2000
17.5;2000
18;2000
18.5;2000
19;2000
19.5;2000
20;2000
