,Abondance,Beaufonds,St Paul,Ste Rose,St Leu,Dattiers,Digue,Langevin,Le Bras de la Plaine,Le Gol,Le Port,Ste Marie,Bois Rouge,Tampon,La Vallee,St Andre,Moufia,Possession,Saline,St Pierre
2019-06-20 18:00:00,11.011090145771528,9.156011685037427,39.12622503020656,4.649933995424387,14.349713091117062,20.90321497275155,6.743395239703018,15.380619712989565,22.726578543371673,29.55564751028409,26.734318342206787,21.290399954423396,15.5347630305178,25.62446012765192,8.125405534758485,18.436778988768506,48.60318732887231,26.351541275579343,25.310863815774965,39.96772393665967
2019-06-20 19:00:00,10.405852966346801,8.652741017585853,36.97560726526953,4.394345048404228,13.560964678212917,19.754245824054202,6.372736798023535,14.535206337051584,21.477386127955207,27.931087498661153,25.26483591920677,20.120148739816102,14.680876990611685,24.215982332390464,7.678783314575517,17.423380318417557,45.93165747846283,24.90309863239105,23.919623200916696,37.770852220670726
2019-06-20 20:00:00,9.442728486962217,7.8518776270724935,33.553291707624865,3.9876218993583894,12.305815572426363,17.925871178894603,5.782901555232653,13.18988528731211,19.489524450500564,25.345896818685834,22.926422910670322,18.25790757199967,13.322073242930443,21.9746470519384,6.9680655861898195,15.810741339895952,41.68040543412935,22.59816659241769,21.705717746268885,34.27493194401542
2019-06-20 21:00:00,8.866747458554109,7.372934220320918,31.506631201509606,3.744387693729542,11.555193936043077,16.832441273440168,5.430160121486598,12.38533777725074,18.300715903089323,23.79986531563994,21.52797280548729,17.14422434003758,12.509462623278944,20.634252713018622,6.54303233569551,14.846328663049245,39.13801285982586,21.219739239348062,20.381727371337107,32.184253325331234
2019-06-20 22:00:00,8.707915020484839,7.240860861582347,30.942244421297744,3.677313467328984,11.34820263130547,16.530917214182224,5.332888199033212,12.163475882044247,17.972890244482514,23.373531910806534,21.142336423785036,16.837115226637984,12.285377246236324,20.264625780316894,6.425825233192327,14.580382374519864,38.43692308223042,20.83962432862866,20.016623993172264,31.607728117300226
2019-06-20 23:00:00,7.460179065972652,6.203335527749525,26.508605509234986,3.150400168519279,9.722146289591048,14.162242310869814,4.568751625390237,10.420601020017468,15.397598534378808,20.024395397594734,18.112902482790926,14.424565955185502,10.5250354343543,17.360956861711834,5.5050843713437105,12.491194862190273,32.92938990147506,17.853565267166996,17.14849064719001,27.078733665743734
2019-06-21 00:00:00,6.563466469817412,5.457695368616821,23.322274423019696,2.771722459973886,8.553545514402607,12.459942545990925,4.019588248082214,9.168046073075384,13.546809105034356,17.617465560572768,15.935733856459498,12.690734920876345,9.259927483793968,15.274172005539613,4.843373914392682,10.989754792869999,28.971281329652193,15.70756894190841,15.087244203585945,23.82387324600399
2019-06-21 01:00:00,6.0561294857896755,5.035831294077985,21.51953003164457,2.557476326490674,7.892381173276368,11.496825007185587,3.708885696588553,8.459382615201303,12.499679923198403,16.255686402438037,14.703947697395023,11.709777798681738,8.544161858488007,14.093522665065887,4.468995112345575,10.14027851726801,26.731885034905265,14.493419271144989,13.921043841820376,21.982356715666178
2019-06-21 02:00:00,5.827766475528406,4.845941431884326,20.708076995680734,2.4610396512247736,7.594777245373603,11.063305616087957,3.569031965855864,8.140398339271918,12.02834513069409,15.642721060558479,14.149494929041847,11.268228437184085,8.221980748136561,13.562087650584816,4.300479366588686,9.757911440651737,25.723885825038113,13.94690505583577,13.396112615505508,21.153451527293708
2019-06-21 03:00:00,5.78920700580256,4.813878216461985,20.571061816478135,2.4447561600581333,7.544526332867544,10.990105154167827,3.545417433493272,8.086537319850919,11.94875947607553,15.539220854828331,14.055874667549999,11.193672101560132,8.1675799379676,13.472353974676915,4.2720252058670924,9.693348131129426,25.5536835012376,13.854625232076879,13.30747711492211,21.013489523464468
2019-06-21 04:00:00,6.047229370042089,5.028430613245817,21.487904831330628,2.553717847518108,7.8807824936029816,11.479929220275187,3.7034351011097644,8.44695066760093,12.481310336090784,16.23179697093271,14.682338708227878,11.692569055369475,8.531605318921756,14.072810759333912,4.462427456573254,10.12537631731865,26.692599733704213,14.47211967552139,13.900585411760362,21.950051343128614
2019-06-21 05:00:00,6.880453437156334,5.7212783870588515,24.448639138188998,2.905584634928631,8.966644669410762,13.061703737128807,4.213716929103144,9.610822940222013,14.20106123766445,18.468312747181347,16.705360694763407,13.303642382866116,9.707141824625033,16.01184827537569,5.077287870664405,11.520512291153853,30.37046858090735,16.466176404300324,15.815892671219466,24.9744630090881
2019-06-21 06:00:00,8.17610842917215,6.798649663619466,29.052551022298744,3.4527339284097365,10.6551493637112,15.521347103051646,5.007200007507704,11.420632545593785,16.87525648548619,21.94607214538816,19.85113941055405,15.808845102830691,11.535089194395914,19.027031989483422,6.033389592100734,13.689934611491822,36.089517417749,19.566914437412017,18.794176076494725,29.67739254217609
2019-06-21 07:00:00,9.338835508383129,7.765487876986869,33.18412389543464,3.9437483603549586,12.170421672725706,17.728642999245913,5.7192755737981225,13.044764470642711,19.275092281975525,25.067030311098826,22.67417650036189,18.057026184496493,13.17549803726104,21.732872490845995,6.891399918032225,15.636784732585541,41.221819605370776,22.349531799947023,21.466902061589348,33.89782433415711
2019-06-21 08:00:00,9.684583870709941,8.052986753450298,34.41268782953514,4.089756343448544,12.621002835483566,18.385004199500873,5.931018265010681,13.527716113662343,19.988707120164815,25.995077996560152,23.5136344161879,18.725544997808683,13.66328978229541,22.537480845455338,7.146537749045517,16.215699813432103,42.74796026904286,23.176970511300937,22.26166348825352,35.152811343988915
